Sentence | True Label | Predicted Tag
------------------------------------------------------------
I didn’t think it would be that hard. | RA | WPR
It wasn’t that expensive after all. | RA | WPR
She’s never been that interested in sports. | RA | WPR
He didn’t run that fast. | RA | WPR
I didn’t know it was that far. | RA | WPR
It doesn’t hurt that much. | RA | WPR
I wasn’t that tired last night. | RA | WPR
The movie wasn’t that good. | RA | WPR
She didn’t seem that upset about it. | RA | WPR
It wasn’t that big of a deal. | RA | WPR
The weather wasn’t that bad. | RA | WPR
I didn’t realize the book was that old. | RA | WPR
He’s not that tall compared to his brother. | RA | WPR
I don’t think it’s that important. | RA | WPR
The cake didn’t taste that sweet. | RA | WPR
She wasn’t that impressed with the presentation. | RA | WPR
The car wasn’t that expensive to fix. | RA | WPR
He didn’t speak that loudly during the meeting. | RA | WPR
I wasn’t that worried about the exam. | RA | WPR
It wasn’t that late when I left. | RA | WPR
The hotel wasn’t that luxurious, but it was nice. | RA | WPR
He didn’t look that tired after the marathon. | RA | WPR
It wasn’t that surprising to hear the news. | RA | WPR
The soup wasn’t that hot when I tried it. | RA | WPR
I didn’t know the city was that crowded. | RA | WPR
She didn’t arrive that early for the party. | RA | WPR
He didn’t finish the project that quickly. | RA | WPR
The trip wasn’t that enjoyable, to be honest. | RA | WPR
It wasn’t that easy to solve the puzzle. | RA | WPR
He didn’t play that well in the game. | RA | WPR
The book wasn’t that interesting. | RA | WPR
I didn’t think it would be that complicated. | RA | WPR
She didn’t sound that enthusiastic. | RA | WPR
The problem wasn’t that serious. | RA | WPR
He didn’t run that far during his jog. | RA | WPR
It wasn’t that cold outside. | RA | WPR
The story wasn’t that funny. | RA | WPR
The dish didn’t turn out that tasty. | RA | WPR
She didn’t work that hard on the project. | RA | WPR
The water wasn’t that deep near the shore. | RA | WPR
The journey didn’t take that long. | RA | WPR
I didn’t think he’d get that upset. | RA | WPR
The dog wasn’t barking that loudly. | RA | WPR
It wasn’t that surprising when she quit. | RA | WPR
The lecture wasn’t that boring. | RA | WPR
I didn’t feel that cold during the winter hike. | RA | WPR
He didn’t play the piano that well. | RA | WPR
The test wasn’t that challenging. | RA | WPR
The road wasn’t that bumpy. | RA | WPR
She didn’t look that happy in the photo. | RA | WPR
The movie didn’t last that long. | RA | WPR
It wasn’t that expensive to buy a ticket. | RA | WPR
The traffic wasn’t that heavy on the way home. | RA | WPR
He didn’t seem that confident during the interview. | RA | WPR
The coffee wasn’t that strong. | RA | WPR
The sky didn’t look that cloudy. | RA | WPR
The sunset wasn’t that spectacular. | RA | WPR
She didn’t sing that beautifully during the performance. | RA | WPR
It wasn’t that dark in the forest. | RA | WPR
The food wasn’t that spicy. | RA | WPR
He didn’t speak that fluently in French. | RA | WPR
The meeting didn’t last that long. | RA | WPR
I didn’t find the joke that funny. | RA | WPR
The crowd wasn’t that big at the concert. | RA | WPR
The hike wasn’t that exhausting. | RA | WPR
He didn’t argue that much about the issue. | RA | WPR
The storm wasn’t that severe. | RA | WPR
The hill wasn’t that steep to climb. | RA | WPR
The water wasn’t that clear in the lake. | RA | WPR
The room wasn’t that messy. | RA | WPR
The dessert wasn’t that rich. | RA | WPR
She didn’t drive that recklessly. | RA | WPR
The sound wasn’t that loud during the fireworks. | RA | WPR
The night wasn’t that quiet in the countryside. | RA | WPR
He didn’t act that responsibly at the event. | RA | WPR
The workout wasn’t that intense. | RA | WPR
The meal wasn’t that filling. | RA | WPR
She didn’t wait that long for her turn. | RA | WPR
The delay wasn’t that frustrating. | RA | WPR
The answer wasn’t that obvious. | RA | WPR
I didn’t think it was that urgent to finish. | RA | WPR
The dog wasn’t barking that aggressively. | RA | WPR
The room wasn’t that warm during the winter. | RA | WPR
The movie wasn’t that scary. | RA | WPR
The rain didn’t last that long. | RA | WPR
She didn’t respond that quickly to the email. | RA | WPR
The flowers weren’t that colorful. | RA | WPR
He didn’t climb that high on the mountain. | RA | WPR
The wind wasn’t blowing that strongly. | RA | WPR
The song wasn’t that catchy. | RA | WPR
The ice cream didn’t melt that quickly. | RA | WPR
The service wasn’t that slow at the restaurant. | RA | WPR
The carpet wasn’t that dirty. | RA | WPR
The children weren’t that noisy during class. | RA | WPR
The bike ride wasn’t that tiring. | RA | WPR
The painting wasn’t that vibrant. | RA | WPR
The speech wasn’t that inspiring. | RA | WPR
The heat wasn’t that unbearable. | RA | WPR
She didn’t explain the issue that clearly. | RA | WPR
The cake didn’t rise that evenly in the oven. | RA | WPR
