Sentence | True Label | Predicted Tag
------------------------------------------------------------
I don’t like that shirt you’re wearing. | DD1 | WPR
Can you hand me that book? | DD1 | WPR
I remember visiting that house when I was a child. | DD1 | WPR
That car over there is mine. | DD1 | WPR
Do you know who lives in that apartment? | DD1 | WPR
I don’t think that idea will work. | DD1 | WPR
She borrowed that pen from my desk. | DD1 | WPR
Did you see that movie everyone’s talking about? | DD1 | WPR
We need to fix that problem immediately. | DD1 | WPR
That road leads to the town square. | DD1 | WPR
I love the taste of that cake. | DD1 | WPR
That dog has been barking all morning. | DD1 | WPR
He’s wearing that jacket again. | DD1 | WPR
Don’t touch that plate; it’s hot. | DD1 | WPR
That chair is broken and needs repair. | DD1 | WPR
Who owns that bike parked outside? | DD1 | WPR
I’ve been meaning to visit that museum. | DD1 | WPR
Did you hear that noise just now? | DD1 | WPR
She doesn’t like that dress anymore. | DD1 | WPR
I’ll never forget that day we spent at the beach. | DD1 | WPR
That lamp needs a new bulb. | DD1 | WPR
Do you remember that song we used to sing? | DD1 | WPR
That picture brings back so many memories. | DD1 | WPR
He always sits in that seat during meetings. | DD1 | WPR
That phone has been ringing nonstop. | DD1 | WPR
They said that hotel has great reviews. | DD1 | WPR
Please pick up that paper on the floor. | DD1 | WPR
That window won’t open properly. | DD1 | WPR
She’s the owner of that beautiful garden. | DD1 | WPR
Can you grab that bottle of water for me? | DD1 | WPR
I’ve been looking for that book everywhere. | DD1 | WPR
That cat keeps coming into our yard. | DD1 | WPR
Did you attend that conference last year? | DD1 | WPR
I’ll always remember that advice you gave me. | DD1 | WPR
That flower smells amazing. | DD1 | WPR
The teacher wrote that word on the board. | DD1 | WPR
I think that restaurant serves the best pasta. | DD1 | WPR
That man is staring at us. | DD1 | WPR
Don’t forget to close that door when you leave. | DD1 | WPR
She painted that wall all by herself. | DD1 | WPR
I don’t understand why that rule exists. | DD1 | WPR
Can you turn off that light before you leave? | DD1 | WPR
That mountain is breathtaking. | DD1 | WPR
Do you see that bird perched on the tree? | DD1 | WPR
I don’t like that tone you’re using with me. | DD1 | WPR
We should explore that path next time. | DD1 | WPR
He’s been avoiding that topic all day. | DD1 | WPR
That child is very talented. | DD1 | WPR
Let’s not waste time discussing that issue again. | DD1 | WPR
She left her umbrella on that table. | DD1 | WPR
That car’s engine sounds strange. | DD1 | WPR
I’ll never forget that moment when we first met. | DD1 | WPR
Can you put that box on the shelf? | DD1 | WPR
That street is closed for repairs. | DD1 | WPR
She wore that scarf I gave her for her birthday. | DD1 | WPR
I’d like to visit that castle someday. | DD1 | WPR
That store is having a huge sale today. | DD1 | WPR
Do you like that necklace she’s wearing? | DD1 | WPR
I heard that train is always late. | DD1 | WPR
They’re tearing down that old building. | DD1 | WPR
That coffee smells delicious. | DD1 | WPR
I’ve been dreaming about that vacation for years. | DD1 | WPR
Don’t forget to water that plant. | DD1 | WPR
Who’s driving that truck? | DD1 | WPR
That bridge was built over a century ago. | DD1 | WPR
Have you ever been to that park by the river? | DD1 | WPR
That color looks great on you. | DD1 | WPR
Can you believe that speech he gave? | DD1 | WPR
She owns that store on Main Street. | DD1 | WPR
Did you see that cloud shaped like a dragon? | DD1 | WPR
I love the pattern on that rug. | DD1 | WPR
That chair was a gift from my grandmother. | DD1 | WPR
Do you know who wrote that book? | DD1 | WPR
We stayed at that hotel during our trip. | DD1 | WPR
That sandwich looks delicious. | DD1 | WPR
He parked his car in that spot. | DD1 | WPR
I’d love to climb that hill one day. | DD1 | WPR
She bought that dress at a vintage store. | DD1 | WPR
That clock on the wall needs to be fixed. | DD1 | WPR
Can you see that star shining so brightly? | DD1 | WPR
I’ve always wanted to visit that country. | DD1 | WPR
That dog belongs to our neighbor. | DD1 | WPR
Don’t touch that wire; it’s dangerous. | DD1 | WPR
Have you seen that movie about space travel? | DD1 | WPR
She found that ring while cleaning the attic. | DD1 | WPR
I don’t understand that rule in the game. | DD1 | WPR
Do you know who painted that picture? | DD1 | WPR
We walked through that forest on our way here. | DD1 | WPR
That bakery makes the best chocolate cake. | DD1 | WPR
She sat on that bench for hours. | DD1 | WPR
Can you believe that storm last night? | DD1 | WPR
I’m not sure if that recipe will work. | DD1 | WPR
That hat really suits you. | DD1 | WPR
He used that tool to fix the broken pipe. | DD1 | WPR
I can’t stop thinking about that conversation we had. | DD1 | WPR
That house on the corner is for sale. | DD1 | WPR
I’ve been eyeing that jacket for weeks. | DD1 | WPR
That guitar sounds amazing. | DD1 | WPR
Did you notice that painting in the hallway? | DD1 | WPR
That story she told was incredible. | DD1 | WPR
