Sentence | True Label | Predicted Tag
------------------------------------------------------------
The assumption that he was late turned out to be false. | NN | IN
I ignored the rumor that she was quitting her job. | NN | IN
His denial of the claim that he cheated was unconvincing. | NN | IN
The idea that we could fail never crossed my mind. | NN | IN
The belief that hard work guarantees success is widespread. | NN | IN
I was relieved by the realization that everything was fine. | NN | IN
They challenged the theory that the Earth was flat. | NN | IN
Her insistence that she was right frustrated her team. | NN | IN
The suggestion that we start over annoyed everyone. | NN | IN
I questioned the validity of the statement that they were innocent. | NN | IN
The concern that he wouldn’t recover was unfounded. | NN | IN
I was surprised by the revelation that he had lied. | NN | IN
The notion that money buys happiness is flawed. | NN | IN
She rejected the claim that her report was inaccurate. | NN | IN
I doubted the rumor that they were dating. | NN | IN
The decision that he should lead the team was unanimous. | NN | IN
His confession that he was wrong shocked us. | NN | IN
I appreciated his recognition that teamwork is essential. | NN | IN
The hope that the weather would clear up kept us going. | NN | IN
She didn’t believe the story that he had saved a life. | NN | IN
The fact that you called made me happy. | NN | IN
They dismissed the suggestion that we leave early. | NN | IN
Her concern that he might fail was genuine. | NN | IN
I disagreed with the assumption that they would win. | NN | IN
The belief that all people are equal is fundamental. | NN | IN
His awareness that he made a mistake was refreshing. | NN | IN
The announcement that we won surprised everyone. | NN | IN
I wasn’t convinced by the argument that more money is needed. | NN | IN
The evidence that she was lying was clear. | NN | IN
The realization that you care means a lot to me. | NN | IN
Her claim that she worked late was a lie. | NN | IN
The fear that we’d miss the bus made us hurry. | NN | IN
I admired her honesty that she had doubts. | NN | IN
His acknowledgement that he needed help was brave. | NN | IN
The assertion that the project was a failure was unfair. | NN | IN
The belief that science will solve everything is naive. | NN | IN
I’m grateful for the understanding that mistakes happen. | NN | IN
The problem that no one explained the rules confused us. | NN | IN
His hope that she would forgive him never faded. | NN | IN
The possibility that they might cancel the event worried us. | NN | IN
Her explanation that the meeting was rescheduled was clear. | NN | IN
The evidence that he was guilty was overwhelming. | NN | IN
I laughed at the idea that she could run a marathon. | NN | IN
The theory that time is relative changed everything. | NN | IN
Their belief that they’d succeed gave them strength. | NN | IN
The chance that we might win excited the team. | NN | IN
His realization that he’d left his phone behind was amusing. | NN | IN
The complaint that the room was too small was valid. | NN | IN
I rejected the argument that it wasn’t my responsibility. | NN | IN
The suggestion that we postpone the trip was sensible. | NN | IN
The proof that he forged the signature was undeniable. | NN | IN
I ignored the thought that I might be wrong. | NN | IN
Her confession that she broke the vase surprised me. | NN | IN
The indication that the economy is recovering is promising. | NN | IN
His regret that he hadn’t apologized was sincere. | NN | IN
The fear that we’d lose everything was overwhelming. | NN | IN
I found the conclusion that the experiment failed unconvincing. | NN | IN
The assumption that they knew the answer was incorrect. | NN | IN
His defense that he wasn’t there didn’t hold up. | NN | IN
I appreciated the realization that we’re all human. | NN | IN
Her refusal that she knew anything was suspicious. | NN | IN
The acknowledgment that we needed change was long overdue. | NN | IN
The claim that he invented the device is under dispute. | NN | IN
The memory that we shared those moments warms my heart. | NN | IN
The understanding that this will take time is vital. | NN | IN
His insistence that the meeting was unnecessary annoyed me. | NN | IN
The recognition that she’s talented was well deserved. | NN | IN
I laughed at the notion that he could be a spy. | NN | IN
The worry that they might not arrive in time lingered. | NN | IN
Her excitement that the concert was near was contagious. | NN | IN
The statement that he saw the crime was critical. | NN | IN
His denial that he broke the rule was unconvincing. | NN | IN
The idea that we could solve this together gave me hope. | NN | IN
The objection that the plan was too risky delayed its approval. | NN | IN
Her realization that she forgot the tickets caused a panic. | NN | IN
The acknowledgment that progress was slow frustrated the team. | NN | IN
I was moved by the notion that kindness matters. | NN | IN
The certainty that they will win is inspiring. | NN | IN
The claim that she invented the recipe is being investigated. | NN | IN
The assumption that all kids learn the same way is flawed. | NN | IN
The suggestion that we leave earlier was well received. | NN | IN
I dismissed the thought that it might rain today. | NN | IN
The announcement that the train was delayed frustrated commuters. | NN | IN
His insistence that the test was unfair caused tension. | NN | IN
The hope that they might find the missing child kept them going. | NN | IN
The explanation that the machine broke down satisfied the customers. | NN | IN
She embraced the idea that she could start over. | NN | IN
His refusal that he needed help worried his friends. | NN | IN
The memory that we spent summers at the lake brings me joy. | NN | IN
The fear that they might lose funding was valid. | NN | IN
I appreciated his acknowledgement that mistakes were made. | NN | IN
The notion that life is easy is a myth. | NN | IN
The confirmation that she was accepted to college brought tears. | NN | IN
His belief that honesty is the best policy guides his decisions. | NN | IN
The problem that no one prepared a backup plan caused chaos. | NN | IN
Her regret that she didn’t say goodbye was painful. | NN | IN
The awareness that change is inevitable is important. | NN | IN
I questioned his claim that he finished the work on time. | NN | IN
The report that the storm would be severe made everyone cautious. | NN | IN
I struggled with the realization that I had failed. | NN | IN
The assumption that he’d forget his promise was unfair. | NN | IN
The decision that we expand our operations was unanimous. | NN | IN
I rejected the idea that the meeting was unnecessary. | NN | IN
The complaint that the service was slow was justified. | NN | IN
His hope that he’d win the prize was dashed. | NN | IN
The conclusion that the plan was flawed angered the team. | NN | IN
The possibility that she might leave worried her family. | NN | IN
I admired his insistence that everyone be treated equally. | NN | DT
The belief that time heals all wounds gave her strength. | NN | IN
The suggestion that they try again was reasonable. | NN | IN
The awareness that he had a problem came too late. | NN | IN
The evidence that he committed the crime was damning. | NN | IN
The realization that she needed help was life-changing. | NN | IN
His denial that he had lied only made things worse. | NN | IN
I laughed at the notion that she could win the lottery. | NN | IN
The objection that the project was too expensive delayed approval. | NN | IN
The understanding that people make mistakes is crucial. | NN | IN
His statement that he was innocent convinced no one. | NN | IN
I dismissed the rumor that they were moving away. | NN | IN
The assumption that I wasn’t interested was wrong. | NN | IN
The confirmation that the package arrived was a relief. | NN | IN
I appreciated his recognition that teamwork was essential. | NN | IN
Her claim that she didn’t see anything was suspicious. | NN | IN
The theory that the dinosaurs were wiped out by an asteroid is widely accepted. | NN | IN
The announcement that the concert was canceled disappointed fans. | NN | IN
His refusal that the terms were fair angered the negotiators. | NN | IN
The hope that they might reconcile faded over time. | NN | IN
The problem that the software was outdated caused delays. | NN | IN
The realization that she was lost made her panic. | NN | IN
The suggestion that they hire more staff was debated. | NN | IN
The thought that he might not return haunted her. | NN | IN
His regret that he didn’t call sooner was evident. | NN | IN
The belief that kindness always wins gave her comfort. | NN | IN
The awareness that he was being watched unnerved him. | NN | IN
The objection that the rules were unclear was valid. | NN | IN
Her assertion that she finished the work was a lie. | NN | IN
The confirmation that the results were accurate was reassuring. | NN | IN
I rejected the idea that success comes easily. | NN | IN
The report that the bridge was unsafe led to its closure. | NN | IN
His concern that the project was doomed proved true. | NN | IN
The realization that they had underestimated the cost came too late. | NN | IN
The decision that we cancel the trip upset everyone. | NN | IN
The belief that she would recover kept them hopeful. | NN | IN
The understanding that life isn’t fair is hard to accept. | NN | IN
Her suggestion that they visit the museum was appreciated. | NN | IN
His statement that the deal was off shocked his partners. | NN | IN
The awareness that time was running out spurred them into action. | NN | IN
The rumor that they were engaged was false. | NN | IN
The memory that we danced all night still makes me smile. | NN | IN
His denial that he was involved angered the investigators. | NN | IN
The objection that the evidence was insufficient was overruled. | NN | IN
The hope that he’d return safely kept them going. | NN | IN
The confirmation that the payment was processed was comforting. | NN | IN
The conclusion that they had failed was hard to accept. | NN | IN
Her regret that she didn’t study harder was palpable. | NN | IN
The suggestion that we hire more staff was sensible. | NN | IN
The problem that the instructions were unclear delayed the process. | NN | IN
His concern that she might leave was well founded. | NN | IN
The assumption that they’d win easily proved false. | NN | IN
The realization that he was out of time struck him suddenly. | NN | IN
The announcement that the game was postponed disappointed fans. | NN | IN
The belief that everything happens for a reason gave her peace. | NN | IN
The rumor that he had won the lottery spread quickly. | NN | IN
