Sentence | True Label | Predicted Tag
------------------------------------------------------------
I didn’t think it would be that hard. | RA | CJT
It wasn’t that expensive after all. | RA | CJT
She’s never been that interested in sports. | RA | CJT
He didn’t run that fast. | RA | CJT
I didn’t know it was that far. | RA | CJT
It doesn’t hurt that much. | RA | CJT
I wasn’t that tired last night. | RA | CJT
The movie wasn’t that good. | RA | CJT
She didn’t seem that upset about it. | RA | CJT
It wasn’t that big of a deal. | RA | CJT
The weather wasn’t that bad. | RA | CJT
I didn’t realize the book was that old. | RA | CJT
He’s not that tall compared to his brother. | RA | CJT
I don’t think it’s that important. | RA | CJT
The cake didn’t taste that sweet. | RA | CJT
She wasn’t that impressed with the presentation. | RA | CJT
The car wasn’t that expensive to fix. | RA | CJT
He didn’t speak that loudly during the meeting. | RA | CJT
I wasn’t that worried about the exam. | RA | CJT
It wasn’t that late when I left. | RA | CJT
The hotel wasn’t that luxurious, but it was nice. | RA | CJT
He didn’t look that tired after the marathon. | RA | CJT
It wasn’t that surprising to hear the news. | RA | CJT
The soup wasn’t that hot when I tried it. | RA | CJT
I didn’t know the city was that crowded. | RA | CJT
She didn’t arrive that early for the party. | RA | CJT
He didn’t finish the project that quickly. | RA | CJT
The trip wasn’t that enjoyable, to be honest. | RA | CJT
It wasn’t that easy to solve the puzzle. | RA | CJT
He didn’t play that well in the game. | RA | CJT
The book wasn’t that interesting. | RA | CJT
I didn’t think it would be that complicated. | RA | CJT
She didn’t sound that enthusiastic. | RA | CJT
The problem wasn’t that serious. | RA | CJT
He didn’t run that far during his jog. | RA | CJT
It wasn’t that cold outside. | RA | CJT
The story wasn’t that funny. | RA | CJT
The dish didn’t turn out that tasty. | RA | CJT
She didn’t work that hard on the project. | RA | CJT
The water wasn’t that deep near the shore. | RA | CJT
The journey didn’t take that long. | RA | CJT
I didn’t think he’d get that upset. | RA | CJT
The dog wasn’t barking that loudly. | RA | CJT
It wasn’t that surprising when she quit. | RA | CJT
The lecture wasn’t that boring. | RA | CJT
I didn’t feel that cold during the winter hike. | RA | CJT
He didn’t play the piano that well. | RA | CJT
The test wasn’t that challenging. | RA | CJT
The road wasn’t that bumpy. | RA | CJT
She didn’t look that happy in the photo. | RA | CJT
The movie didn’t last that long. | RA | CJT
It wasn’t that expensive to buy a ticket. | RA | CJT
The traffic wasn’t that heavy on the way home. | RA | CJT
He didn’t seem that confident during the interview. | RA | CJT
The coffee wasn’t that strong. | RA | CJT
The sky didn’t look that cloudy. | RA | CJT
The sunset wasn’t that spectacular. | RA | CJT
She didn’t sing that beautifully during the performance. | RA | CJT
It wasn’t that dark in the forest. | RA | CJT
The food wasn’t that spicy. | RA | CJT
He didn’t speak that fluently in French. | RA | CJT
The meeting didn’t last that long. | RA | CJT
I didn’t find the joke that funny. | RA | CJT
The crowd wasn’t that big at the concert. | RA | CJT
The hike wasn’t that exhausting. | RA | CJT
He didn’t argue that much about the issue. | RA | CJT
The storm wasn’t that severe. | RA | CJT
The hill wasn’t that steep to climb. | RA | CJT
The water wasn’t that clear in the lake. | RA | CJT
The room wasn’t that messy. | RA | CJT
The dessert wasn’t that rich. | RA | CJT
She didn’t drive that recklessly. | RA | CJT
The sound wasn’t that loud during the fireworks. | RA | CJT
The night wasn’t that quiet in the countryside. | RA | CJT
He didn’t act that responsibly at the event. | RA | CJT
The workout wasn’t that intense. | RA | CJT
The meal wasn’t that filling. | RA | CJT
She didn’t wait that long for her turn. | RA | CJT
The delay wasn’t that frustrating. | RA | CJT
The answer wasn’t that obvious. | RA | CJT
I didn’t think it was that urgent to finish. | RA | CJT
The dog wasn’t barking that aggressively. | RA | CJT
The room wasn’t that warm during the winter. | RA | CJT
The movie wasn’t that scary. | RA | CJT
The rain didn’t last that long. | RA | CJT
She didn’t respond that quickly to the email. | RA | CJT
The flowers weren’t that colorful. | RA | CJT
He didn’t climb that high on the mountain. | RA | CJT
The wind wasn’t blowing that strongly. | RA | CJT
The song wasn’t that catchy. | RA | CJT
The ice cream didn’t melt that quickly. | RA | CJT
The service wasn’t that slow at the restaurant. | RA | CJT
The carpet wasn’t that dirty. | RA | CJT
The children weren’t that noisy during class. | RA | CJT
The bike ride wasn’t that tiring. | RA | CJT
The painting wasn’t that vibrant. | RA | CJT
The speech wasn’t that inspiring. | RA | CJT
The heat wasn’t that unbearable. | RA | CJT
She didn’t explain the issue that clearly. | RA | CJT
The cake didn’t rise that evenly in the oven. | RA | CJT
