Sentence | True Label | Predicted Tag
------------------------------------------------------------
I didn’t think it would be that hard. | RA | CST
It wasn’t that expensive after all. | RA | CST
She’s never been that interested in sports. | RA | CST
He didn’t run that fast. | RA | CST
I didn’t know it was that far. | RA | CST
It doesn’t hurt that much. | RA | CST
I wasn’t that tired last night. | RA | CST
The movie wasn’t that good. | RA | CST
She didn’t seem that upset about it. | RA | CST
It wasn’t that big of a deal. | RA | CST
The weather wasn’t that bad. | RA | CST
I didn’t realize the book was that old. | RA | CST
He’s not that tall compared to his brother. | RA | CST
I don’t think it’s that important. | RA | CST
The cake didn’t taste that sweet. | RA | CST
She wasn’t that impressed with the presentation. | RA | CST
The car wasn’t that expensive to fix. | RA | CST
He didn’t speak that loudly during the meeting. | RA | CST
I wasn’t that worried about the exam. | RA | CST
It wasn’t that late when I left. | RA | CST
The hotel wasn’t that luxurious, but it was nice. | RA | CST
He didn’t look that tired after the marathon. | RA | CST
It wasn’t that surprising to hear the news. | RA | CST
The soup wasn’t that hot when I tried it. | RA | CST
I didn’t know the city was that crowded. | RA | CST
She didn’t arrive that early for the party. | RA | CST
He didn’t finish the project that quickly. | RA | CST
The trip wasn’t that enjoyable, to be honest. | RA | CST
It wasn’t that easy to solve the puzzle. | RA | CST
He didn’t play that well in the game. | RA | CST
The book wasn’t that interesting. | RA | CST
I didn’t think it would be that complicated. | RA | CST
She didn’t sound that enthusiastic. | RA | CST
The problem wasn’t that serious. | RA | CST
He didn’t run that far during his jog. | RA | CST
It wasn’t that cold outside. | RA | CST
The story wasn’t that funny. | RA | CST
The dish didn’t turn out that tasty. | RA | CST
She didn’t work that hard on the project. | RA | CST
The water wasn’t that deep near the shore. | RA | CST
The journey didn’t take that long. | RA | CST
I didn’t think he’d get that upset. | RA | CST
The dog wasn’t barking that loudly. | RA | CST
It wasn’t that surprising when she quit. | RA | CST
The lecture wasn’t that boring. | RA | CST
I didn’t feel that cold during the winter hike. | RA | CST
He didn’t play the piano that well. | RA | CST
The test wasn’t that challenging. | RA | CST
The road wasn’t that bumpy. | RA | CST
She didn’t look that happy in the photo. | RA | CST
The movie didn’t last that long. | RA | CST
It wasn’t that expensive to buy a ticket. | RA | CST
The traffic wasn’t that heavy on the way home. | RA | CST
He didn’t seem that confident during the interview. | RA | CST
The coffee wasn’t that strong. | RA | CST
The sky didn’t look that cloudy. | RA | CST
The sunset wasn’t that spectacular. | RA | CST
She didn’t sing that beautifully during the performance. | RA | CST
It wasn’t that dark in the forest. | RA | CST
The food wasn’t that spicy. | RA | CST
He didn’t speak that fluently in French. | RA | CST
The meeting didn’t last that long. | RA | CST
I didn’t find the joke that funny. | RA | CST
The crowd wasn’t that big at the concert. | RA | CST
The hike wasn’t that exhausting. | RA | CST
He didn’t argue that much about the issue. | RA | CST
The storm wasn’t that severe. | RA | CST
The hill wasn’t that steep to climb. | RA | CST
The water wasn’t that clear in the lake. | RA | CST
The room wasn’t that messy. | RA | CST
The dessert wasn’t that rich. | RA | CST
She didn’t drive that recklessly. | RA | CST
The sound wasn’t that loud during the fireworks. | RA | CST
The night wasn’t that quiet in the countryside. | RA | CST
He didn’t act that responsibly at the event. | RA | CST
The workout wasn’t that intense. | RA | CST
The meal wasn’t that filling. | RA | CST
She didn’t wait that long for her turn. | RA | CST
The delay wasn’t that frustrating. | RA | CST
The answer wasn’t that obvious. | RA | CST
I didn’t think it was that urgent to finish. | RA | CST
The dog wasn’t barking that aggressively. | RA | CST
The room wasn’t that warm during the winter. | RA | CST
The movie wasn’t that scary. | RA | CST
The rain didn’t last that long. | RA | CST
She didn’t respond that quickly to the email. | RA | CJT
The flowers weren’t that colorful. | RA | CST
He didn’t climb that high on the mountain. | RA | CST
The wind wasn’t blowing that strongly. | RA | CST
The song wasn’t that catchy. | RA | CST
The ice cream didn’t melt that quickly. | RA | CST
The service wasn’t that slow at the restaurant. | RA | CST
The carpet wasn’t that dirty. | RA | CST
The children weren’t that noisy during class. | RA | CST
The bike ride wasn’t that tiring. | RA | CST
The painting wasn’t that vibrant. | RA | CST
The speech wasn’t that inspiring. | RA | CST
The heat wasn’t that unbearable. | RA | CST
She didn’t explain the issue that clearly. | RA | CST
The cake didn’t rise that evenly in the oven. | RA | CST
