Sentence | True Label | Predicted Tag
------------------------------------------------------------
She said that she would be late. | CST | CJT
I believe that he is telling the truth. | CST | CJT
They admitted that they made a mistake. | CST | CJT
He thinks that the movie is overrated. | CST | CJT
I heard that you got a promotion. | CST | CJT
She knows that I am her biggest supporter. | CST | CJT
He complained that the food was cold. | CST | CJT
We hope that you can join us for dinner. | CST | CJT
I remember that she mentioned your name. | CST | CJT
He forgot that he had a meeting today. | CST | CJT
She feared that she might fail the exam. | CST | CJT
I suspect that they are hiding something. | CST | CJT
He confirmed that the package had arrived. | CST | CJT
I understand that you are upset. | CST | CJT
She revealed that she is moving abroad. | CST | CJT
He promised that he would help me. | CST | CJT
I noticed that you were smiling. | CST | CJT
She insisted that she was right. | CST | CJT
He admitted that he was wrong. | CST | CJT
I assume that you’ve already finished. | CST | DT0
They declared that they would not surrender. | CST | CJT
I hoped that you would come early. | CST | CJT
She argued that the rules should change. | CST | CJT
He believes that his team will win. | CST | CJT
I doubt that she will agree. | CST | CJT
He mentioned that the weather would improve. | CST | CJT
She explained that she had to leave early. | CST | CJT
I imagined that you’d like this gift. | CST | DT0
He warned that the road might be closed. | CST | CJT
She agreed that the idea was brilliant. | CST | CJT
I suppose that you’ve heard the news. | CST | CJT
He emphasized that safety is the top priority. | CST | CJT
She observed that the room was too small. | CST | CJT
I concluded that the plan was feasible. | CST | CJT
He suspected that someone had taken his phone. | CST | CJT
She remarked that the party was enjoyable. | CST | CJT
I predict that the team will succeed. | CST | CJT
He confessed that he had lied. | CST | CJT
I realize that this is a sensitive issue. | CST | CJT
She acknowledged that she needed help. | CST | CJT
He reported that the system had crashed. | CST | CJT
I’ve heard that you’re moving next week. | CST | DT0
She hoped that everything would go smoothly. | CST | CJT
He declared that he was innocent. | CST | CJT
I suspect that they’re avoiding the truth. | CST | DT0
She suggested that we take a break. | CST | CJT
He reminded me that the deadline is tomorrow. | CST | CJT
I warned him that the train was delayed. | CST | CJT
She claimed that she had already paid. | CST | CJT
He asserted that he knew the answer. | CST | CJT
I insisted that you be included in the meeting. | CST | CJT
She doubted that he would finish on time. | CST | CJT
He explained that the rules had changed. | CST | CJT
I acknowledged that it was my fault. | CST | CJT
She believed that the results were accurate. | CST | CJT
He hinted that there might be more to the story. | CST | CJT
I denied that I had seen him before. | CST | CJT
She expressed that she was happy with the outcome. | CST | CJT
He assumed that everyone was on board. | CST | CJT
I accepted that I needed to improve. | CST | CJT
She concluded that the test was unfair. | CST | CJT
He noticed that the light was flickering. | CST | CJT
I maintained that my decision was correct. | CST | CJT
She reported that the noise came from the basement. | CST | CJT
He believed that honesty was the best policy. | CST | CJT
I understood that the instructions were confusing. | CST | CJT
She suggested that we meet earlier. | CST | CJT
He observed that the sky was turning red. | CST | CJT
I hoped that we could resolve this peacefully. | CST | CJT
She claimed that she had never met him. | CST | CJT
He argued that the proposal was flawed. | CST | CJT
I feared that we were running out of time. | CST | CJT
She promised that she would call me later. | CST | CJT
He hinted that he was considering resigning. | CST | CJT
I suspect that they are planning something big. | CST | CJT
She explained that the delay was unavoidable. | CST | CJT
He acknowledged that he had been careless. | CST | CJT
I remarked that the presentation was excellent. | CST | CJT
She emphasized that education is vital. | CST | CJT
He mentioned that the event was canceled. | CST | CJT
I remember that you helped me last year. | CST | CJT
She admitted that she was scared. | CST | CJT
He agreed that the budget was too tight. | CST | CJT
I suppose that everything will be fine. | CST | CJT
She assured me that the project was on track. | CST | CJT
He revealed that he had a hidden talent. | CST | CJT
I doubted that he would attend the meeting. | CST | CJT
She complained that the service was poor. | CST | CJT
He confessed that he felt nervous. | CST | CJT
I hoped that the weather would improve. | CST | CJT
She announced that she was engaged. | CST | CJT
He suggested that we review the document again. | CST | CJT
I confirmed that my application had been received. | CST | CJT
She insisted that her decision was final. | CST | CJT
He warned me that the road was slippery. | CST | CJT
I believe that you’ll succeed with effort. | CST | CJT
She concluded that the solution was effective. | CST | CJT
He explained that he couldn’t attend the meeting. | CST | CJT
I realized that I had forgotten my keys. | CST | CJT
She mentioned that she had spoken to the manager. | CST | CJT
