Sentence | True Label | Predicted Tag
------------------------------------------------------------
I don’t like that shirt you’re wearing. | DD1 | DD1
Can you hand me that book? | DD1 | DD1
I remember visiting that house when I was a child. | DD1 | DD1
That car over there is mine. | DD1 | DD1
Do you know who lives in that apartment? | DD1 | DD1
I don’t think that idea will work. | DD1 | DD1
She borrowed that pen from my desk. | DD1 | DD1
Did you see that movie everyone’s talking about? | DD1 | DD1
We need to fix that problem immediately. | DD1 | DD1
That road leads to the town square. | DD1 | DD1
I love the taste of that cake. | DD1 | DD1
That dog has been barking all morning. | DD1 | DD1
He’s wearing that jacket again. | DD1 | DD1
Don’t touch that plate; it’s hot. | DD1 | DD1
That chair is broken and needs repair. | DD1 | DD1
Who owns that bike parked outside? | DD1 | DD1
I’ve been meaning to visit that museum. | DD1 | DD1
Did you hear that noise just now? | DD1 | DD1
She doesn’t like that dress anymore. | DD1 | DD1
I’ll never forget that day we spent at the beach. | DD1 | DD1
That lamp needs a new bulb. | DD1 | DD1
Do you remember that song we used to sing? | DD1 | DD1
That picture brings back so many memories. | DD1 | DD1
He always sits in that seat during meetings. | DD1 | DD1
That phone has been ringing nonstop. | DD1 | DD1
They said that hotel has great reviews. | DD1 | DD1
Please pick up that paper on the floor. | DD1 | DD1
That window won’t open properly. | DD1 | DD1
She’s the owner of that beautiful garden. | DD1 | RA
Can you grab that bottle of water for me? | DD1 | DD1
I’ve been looking for that book everywhere. | DD1 | DD1
That cat keeps coming into our yard. | DD1 | DD1
Did you attend that conference last year? | DD1 | DD1
I’ll always remember that advice you gave me. | DD1 | DD1
That flower smells amazing. | DD1 | DD1
The teacher wrote that word on the board. | DD1 | DD1
I think that restaurant serves the best pasta. | DD1 | DD1
That man is staring at us. | DD1 | DD1
Don’t forget to close that door when you leave. | DD1 | DD1
She painted that wall all by herself. | DD1 | DD1
I don’t understand why that rule exists. | DD1 | DD1
Can you turn off that light before you leave? | DD1 | DD1
That mountain is breathtaking. | DD1 | DD1
Do you see that bird perched on the tree? | DD1 | DD1
I don’t like that tone you’re using with me. | DD1 | DD1
We should explore that path next time. | DD1 | DD1
He’s been avoiding that topic all day. | DD1 | RA
That child is very talented. | DD1 | DD1
Let’s not waste time discussing that issue again. | DD1 | DD1
She left her umbrella on that table. | DD1 | DD1
That car’s engine sounds strange. | DD1 | RA
I’ll never forget that moment when we first met. | DD1 | DD1
Can you put that box on the shelf? | DD1 | DD1
That street is closed for repairs. | DD1 | DD1
She wore that scarf I gave her for her birthday. | DD1 | CJT
I’d like to visit that castle someday. | DD1 | DD1
That store is having a huge sale today. | DD1 | DD1
Do you like that necklace she’s wearing? | DD1 | DD1
I heard that train is always late. | DD1 | DD1
They’re tearing down that old building. | DD1 | RA
That coffee smells delicious. | DD1 | DD1
I’ve been dreaming about that vacation for years. | DD1 | DD1
Don’t forget to water that plant. | DD1 | DD1
Who’s driving that truck? | DD1 | DD1
That bridge was built over a century ago. | DD1 | DD1
Have you ever been to that park by the river? | DD1 | DD1
That color looks great on you. | DD1 | DD1
Can you believe that speech he gave? | DD1 | DD1
She owns that store on Main Street. | DD1 | DD1
Did you see that cloud shaped like a dragon? | DD1 | CJT
I love the pattern on that rug. | DD1 | DD1
That chair was a gift from my grandmother. | DD1 | DD1
Do you know who wrote that book? | DD1 | DD1
We stayed at that hotel during our trip. | DD1 | DD1
That sandwich looks delicious. | DD1 | DD1
He parked his car in that spot. | DD1 | DD1
I’d love to climb that hill one day. | DD1 | DD1
She bought that dress at a vintage store. | DD1 | DD1
That clock on the wall needs to be fixed. | DD1 | DD1
Can you see that star shining so brightly? | DD1 | DD1
I’ve always wanted to visit that country. | DD1 | DD1
That dog belongs to our neighbor. | DD1 | DD1
Don’t touch that wire; it’s dangerous. | DD1 | DD1
Have you seen that movie about space travel? | DD1 | DD1
She found that ring while cleaning the attic. | DD1 | CJT
I don’t understand that rule in the game. | DD1 | DD1
Do you know who painted that picture? | DD1 | DD1
We walked through that forest on our way here. | DD1 | DD1
That bakery makes the best chocolate cake. | DD1 | DD1
She sat on that bench for hours. | DD1 | DD1
Can you believe that storm last night? | DD1 | DD1
I’m not sure if that recipe will work. | DD1 | DD1
That hat really suits you. | DD1 | DD1
He used that tool to fix the broken pipe. | DD1 | DD1
I can’t stop thinking about that conversation we had. | DD1 | DD1
That house on the corner is for sale. | DD1 | DD1
I’ve been eyeing that jacket for weeks. | DD1 | DD1
That guitar sounds amazing. | DD1 | DD1
Did you notice that painting in the hallway? | DD1 | DD1
That story she told was incredible. | DD1 | DD1
